Funder,Program,Country/Region,Province/State,Sector,Eligible Applicants,Funding Type,Typical Amount,Deadline Type,Next Deadline,Match Required,Website,Fit Score,Difficulty,Notes,Status,Next Action
Crown-Indigenous Relations,Consultation and Accommodation,Canada,National,Indigenous / Rights,First Nations band councils and tribal councils,Operating / Project,Varies,Negotiated,Ongoing,No,https://rcaanc-cirnac.gc.ca,Medium,High,Consultation funding tied to rights processes. Specialized — requires legal and policy capacity.,Research,Assess relevance to specific rights processes
Natural Sciences and Engineering Research Council,Community Alliance for Research and Training,Canada,National,Research / Environment / Health,Partnerships between nonprofits and universities,Partnership,$200,000–$1,000,000,Annual,October,Yes — partner contributions,https://nserc-crsng.gc.ca,Low,High,Requires university partnership. Better fit for research-engaged nonprofits than frontline orgs.,Research,Assess university partnership potential
Social Sciences and Humanities Research Council,Partnership Grants,Canada,National,Research / Social Policy,Nonprofits in partnership with post-secondary institutions,Partnership,$100,000–$2,500,000,Annual,October,Yes — in-kind or cash,https://sshrc-crsh.gc.ca,Low,High,Academic partnership required. Complex application. Best for policy orgs with research capacity.,Research,Assess academic partnership feasibility
United Way Greater Toronto,Community Building Fund,Canada,Ontario,Social Services / Community,Toronto-area nonprofits,Operating / Project,$10,000–$200,000,Annual,Invitation / LOI,Rolling,No,https://unitedwaygt.org,High,Medium,Relationship-based for larger grants; open process for community building fund. Toronto focus.,Research,Attend United Way information session
United Way British Columbia,Community Impact Fund,Canada,British Columbia,Social Services / Community,BC nonprofits,Operating / Project,$5,000–$150,000,Annual,March,No,https://uwbc.ca,High,Medium,Multi-year funding available. Covers social services, youth, health, and housing across BC.,Research,Identify regional office contact
Sport Canada,Sport Support Program — Community Sport,Canada,National,Sport / Recreation / Youth,National and provincial sport organizations,Operating / Project,$10,000–$5,000,000,Annual,March,No,https://canada.ca/en/canadian-heritage/services/funding,Medium,Medium,Best fit for sport organizations with national scope. Community sport stream more accessible.,Research,Review Sport Canada eligibility criteria
Status of Women Canada,Women's Program,Canada,National,Gender Equity / Women,Nonprofits and Indigenous orgs advancing gender equality,Project,$5,000–$1,000,000,Annual,Varies,No,https://women-femmes.gc.ca,High,Medium,Multiple streams including community projects and research. Strong fit for gender-focused orgs.,Research,Review current program priorities
Enabling Accessibility Fund,Community Accessibility Projects,Canada,National,Accessibility / Disability,Nonprofits and municipalities,Capital / Project,$3,000–$3,000,000,Annual,February,No,https://canada.ca/en/employment-social-development/services/funding/enabling-accessibility-fund,High,Low,Annual fund for accessibility improvements. Straightforward application with clear criteria.,Research,Assess accessibility project needs
Healthy Communities Initiative,Healthy Communities Project Fund,Canada,National,Health / Community,Nonprofits and municipalities,Project,$25,000–$250,000,Annual,Closed — check for new intake,No,https://canada.ca/en/public-health,High,Low,COVID recovery focused originally; check for relaunch. Good fit for community health orgs.,Research,Monitor for new intake announcement
First Peoples Cultural Council,Indigenous Language and Culture,Canada,British Columbia,Indigenous / Language / Culture,BC First Nations organizations,Project / Operating,$5,000–$100,000,Annual,March,No,https://fpcc.ca,High,Low,BC-specific Indigenous language and culture funding. Strong fit for BC First Nations orgs.,Research,Confirm BC First Nations status
Inspirit Foundation,Media and Democracy,Canada,National,Media / Democracy / Pluralism,Nonprofits working on media literacy and democracy,Project,$25,000–$150,000,Letter of Inquiry,Rolling,No,https://inspiritfoundation.com,Medium,Medium,Emerging stream on media democracy and countering misinformation.,Research,Review media democracy stream guidelines
Ontario Arts Council,Organizations — General Arts,Canada,Ontario,Arts & Culture,Ontario arts nonprofits,Operating / Project,$5,000–$200,000,Annual,October / March,No,https://arts.on.ca,High,Medium,Core funding for Ontario arts organizations. Multiple deadlines across streams.,Research,Identify correct Ontario Arts Council stream
Conseil des arts et des lettres du Québec,Organizations Support,Canada,Quebec,Arts & Culture,Quebec-based arts nonprofits,Operating / Project,$10,000–$250,000,Annual,February,No,https://calq.gouv.qc.ca,High,Medium,Quebec arts council — French-language application. Strong fit for Quebec arts orgs.,Research,Confirm French application requirement
NS Department of Communities Culture Tourism and Heritage,Cultural Organizations Operating Fund,Canada,Nova Scotia,Arts & Culture / Heritage,Nova Scotia nonprofits with cultural mandate,Operating,$5,000–$75,000,Annual,March,No,https://novascotia.ca,High,Low,Province-specific operating support for NS cultural organizations.,Research,Confirm Nova Scotia incorporation
Manitoba Arts Council,Arts Organizations Operating,Canada,Manitoba,Arts & Culture,Manitoba arts nonprofits,Operating,$5,000–$150,000,Annual,April,No,https://artscouncil.mb.ca,High,Medium,Manitoba-based arts operating funding. Stable multi-year support available.,Research,Confirm Manitoba incorporation
Inspirit Foundation,Youth Leadership,Canada,National,Youth / Pluralism,Nonprofits with youth leadership and pluralism programs,Project,$25,000–$100,000,Letter of Inquiry,Rolling,No,https://inspiritfoundation.com,Medium,Medium,Youth programming with social cohesion lens. LOI-based.,Research,Review youth leadership stream
Catherine Donnelly Foundation,Social Justice,Canada,National,Social Justice / Anti-poverty,Registered charities working on systemic change,Project,$10,000–$75,000,Letter of Inquiry,Rolling,No,https://catherinedonnellyfoundation.org,Medium,Medium,Focus on social justice and poverty reduction. Relationship and LOI-based.,Research,Submit Letter of Inquiry
Ivey Foundation,Environment,Canada,National,Environment / Climate,Registered charities with environmental mandate,Project,$25,000–$300,000,Invitation / LOI,Rolling,No,https://iveyfoundation.org,Medium,High,Focus on climate and clean economy. Invitation-preferred. Cold applications rarely succeed.,Research,Research relationship entry points
J.W. McConnell Family Foundation,Indigenous Reconciliation,Canada,National,Indigenous / Reconciliation,Nonprofits and Indigenous-led organizations,Strategic,$50,000–$500,000,Invitation,Ongoing,No,https://mcconnellfoundation.ca,Medium,High,Strategic reconciliation funding. Relationship-based. Focus on structural change.,Research,Research connection points
Trillium Gift of Life Network,Health / Organ Donation,Canada,Ontario,Health,Ontario health nonprofits,Project,$5,000–$50,000,Annual,May,No,https://beadonor.ca,Low,Medium,Very specific to organ donation awareness. Narrow eligibility.,Research,Assess mandate alignment
Tamarack Institute,Community Poverty Reduction,Canada,National,Poverty Reduction / Community,Nonprofits working on poverty reduction,Learning / Project,$10,000–$100,000,Letter of Inquiry,Rolling,No,https://tamarackcommunity.ca,Medium,Medium,Network and learning focus. Funding tied to Tamarack network membership and initiatives.,Research,Explore Tamarack network participation
Inspirit Foundation,Arts and Social Cohesion,Canada,National,Arts / Social Cohesion,Arts nonprofits with social cohesion programming,Project,$25,000–$100,000,Letter of Inquiry,Rolling,No,https://inspiritfoundation.com,Medium,Medium,Intersection of arts practice and social cohesion. LOI-based.,Research,Review arts cohesion stream
Makivik Corporation,Nunavik Community Development,Canada,Quebec — Nunavik,Indigenous / Community,Inuit organizations in Nunavik,Project / Operating,$10,000–$200,000,Annual,Varies,No,https://makivik.org,High,Medium,Nunavik Inuit-specific. Strong fit for Nunavik Inuit organizations.,Research,Confirm Inuit organizational eligibility
Metis Nation of Ontario,Community Grants,Canada,Ontario,Indigenous / Métis,Métis organizations in Ontario,Project,$5,000–$50,000,Annual,March,No,https://metisnation.org,High,Low,Métis-specific funding for Ontario Métis organizations and communities.,Research,Confirm Métis organizational status
The Counselling Foundation of Canada,Career Development,Canada,National,Career / Employment / Education,Nonprofits in career counselling and development,Project,$25,000–$150,000,Letter of Inquiry,Rolling,No,https://counselling.net,Medium,Medium,Focus on career development access and counselling. LOI-based.,Research,Review career development mandate alignment
Ontario Disability Support Program (ODSP) Employment Supports,Employment Transition,Canada,Ontario,Disability / Employment,Service providers in Ontario,Service contract,Varies,Ongoing,No,https://ontario.ca/page/odsp-employment-supports,Medium,Medium,Contract-based rather than grant. Requires service provider registration.,Research,Assess service provider feasibility
Atkinson Foundation,Economic Inclusion,Canada,Ontario,Economic Justice / Labour,Ontario nonprofits working on economic inclusion,Project,$25,000–$150,000,Letter of Inquiry,Rolling,No,https://atkinsonfoundation.ca,High,Medium,Focus on economic justice, decent work, and workers' rights. Ontario-focused. LOI-based.,Research,Submit Letter of Inquiry
Muttart Foundation,Strengthening the Voluntary Sector,Canada,Alberta,Nonprofit Capacity Building,Alberta nonprofits (org. development focus),Capacity,$10,000–$75,000,Annual,March,No,https://muttart.org,High,Low,Unique capacity-building funder. Strong fit for Alberta nonprofits focused on org development.,Research,Review capacity building eligibility
Rossy Family Foundation,Palliative Care / Health,Canada,National,Health / Palliative Care,Health nonprofits and hospitals,Project,$25,000–$500,000,Invitation / LOI,Rolling,No,https://rossyfamilyfoundation.ca,Medium,High,Focus on palliative care and cancer care. Invitation-preferred.,Research,Assess palliative care mandate alignment
Fondation Lucie et André Chagnon,Child Development,Canada,Quebec,Early Childhood / Education,Quebec-based nonprofits working with families and children,Project,$25,000–$500,000,LOI / Invitation,Rolling,No,https://fondationchagnon.org,Medium,High,Quebec-focused. Early childhood development and educational success. French application required.,Research,Assess Quebec mandate and French application capacity
Canadian Women's Foundation,Women's Economic Security,Canada,National,Women / Economic Empowerment,Registered charities with women's economic programs,Project,$30,000–$100,000,Annual,April,No,https://canadianwomen.org,High,Medium,Focus on women's economic security and violence prevention. Clear eligibility criteria.,Research,Review women's economic security stream
Engineers Without Borders Canada,Systems Change / Social Innovation,Canada,National,Social Innovation / International Development,Canadian nonprofits with systems change mandate,Project / Learning,$10,000–$100,000,Annual / LOI,Rolling,No,https://ewb.ca,Low,Medium,Primarily EWB's own programs; limited external grants. Systems-change focused.,Research,Assess fit with EWB network programs
The J.P. Bickell Foundation,Health and Social Services — Ontario,Canada,Ontario,Health / Social Services,Ontario nonprofits in health and social services,Project,$10,000–$100,000,Annual,March,No,https://jpbickell.com,High,Low,Ontario-focused health and social services. Relatively accessible with clear criteria.,Research,Confirm Ontario registration and health mandate
Counselling Foundation of Canada,Access to Post-Secondary,Canada,National,Education / Youth,Nonprofits improving post-secondary access,Project,$25,000–$100,000,LOI,Rolling,No,https://counselling.net,Medium,Medium,Focus on improving access to post-secondary education for underserved youth.,Research,Submit Letter of Inquiry
TD Friends of the Environment,Local Environmental Projects,Canada,National,Environment / Community,Nonprofits and schools for environmental restoration,Project,$500–$25,000,Annual,October,No,https://td.com/fef,High,Low,Small grants but very accessible. Good for grassroots environmental projects across Canada.,Research,Review local environmental project eligibility
RBC Foundation,Youth / Community / Environment,Canada,National,Multi-sector,Registered charities across youth and environment,Project,$5,000–$100,000,Annual,Rolling,No,https://rbc.com/community-social-impact,High,Low,Corporate foundation with accessible community grants. Multiple streams.,Research,Review RBC Foundation program priorities
Scotiabank,Community Giving,Canada,National,Multi-sector,Registered charities in communities where Scotiabank operates,Project,$1,000–$50,000,Annual,Rolling,No,https://scotiabank.com,Medium,Low,Corporate giving program. Relationship with local branch can help. Broad eligibility.,Research,Identify local Scotiabank relationship
BMO Financial Group,BMO Charitable Foundation,Canada,National,Education / Financial Literacy,Nonprofits in education and financial literacy,Project,$5,000–$100,000,Annual,Rolling,No,https://bmo.com/main/about-bmo/corporate-responsibility,Medium,Low,Focus on education and financial literacy. Broad corporate giving across Canada.,Research,Review BMO community focus areas
Suncor Energy Foundation,Community Programs,Canada,Alberta,Environment / Community,Alberta-area nonprofits near Suncor operations,Project,$5,000–$100,000,Annual,Rolling,No,https://suncor.com,Medium,Low,Geographic concentration near Suncor operations. Community investment focus.,Research,Confirm geographic eligibility near Suncor operations
Patagonia Environmental Grants,Environmental Activism,Canada,National,Environment / Advocacy,Grassroots environmental nonprofits and advocacy groups,Project,$5,000–$30,000,Annual,January,No,https://patagonia.com/environmental-grants,High,Low,Accepts Canadian orgs. Focus on activism and advocacy rather than service delivery. Highly competitive.,Research,Review Patagonia's funded projects for alignment
Canada Revenue Agency — Charitable Registration,Charitable Registration Support,Canada,National,Capacity Building,Unincorporated groups seeking charity status,Technical Assistance,N/A,Ongoing,Ongoing,No,https://canada.ca/en/revenue-agency/services/charities-giving,High,Low,Not a grant — technical resource. Critical first step for organizations seeking broader funding access.,Research,Assess organizational readiness for charitable registration
Community Foundations of Canada,Vital Signs Community Grants,Canada,National,Multi-sector / Community Research,Community foundations and their nonprofit partners,Project,$5,000–$50,000,Annual,June,No,https://communityfoundations.ca,High,Low,Network of 191 community foundations. Vital Signs grants support local research and community knowledge. Contact your regional community foundation.,Research,Identify your regional community foundation contact
Fondation du Grand Montréal,Community Grants — Montréal Region,Canada,Quebec,Multi-sector / Community,Montréal-area registered charities,Project,$5,000–$75,000,Annual,February,No,https://fgmtl.org,High,Low,Major Montréal-area community foundation. French application preferred. Strong fit for Montréal organizations across sectors.,Research,Confirm French application capacity and Montréal service area
Nova Scotia Accessibility Directorate,Accessibility Innovation Fund,Canada,Nova Scotia,Accessibility / Disability,Nova Scotia nonprofits and municipalities,Project,$5,000–$50,000,Annual,April,No,https://novascotia.ca/accessibility,High,Low,Province-specific accessibility fund. Good fit for NS organizations working on disability inclusion.,Research,Confirm Nova Scotia incorporation and accessibility mandate
Saskatchewan Lotteries Community Grant Program,Community Grant Program,Canada,Saskatchewan,Multi-sector / Community,Saskatchewan nonprofits and community organizations,Project,$1,000–$30,000,Annual,Varies by region,No,https://sasklotteries.ca,High,Low,Province-wide program distributed through regional organizations. Accessible for Saskatchewan-based orgs across sectors.,Research,Identify regional Saskatchewan Lotteries administrator
New Brunswick Community Investment Fund,Community Investment,Canada,New Brunswick,Multi-sector / Community,New Brunswick registered nonprofits,Project,$5,000–$50,000,Annual,March,No,https://gnb.ca,High,Low,NB provincial community investment program. Good fit for New Brunswick organizations serving local communities.,Research,Confirm New Brunswick incorporation and service area
